LAST NAME,FIRST NAME,Monthly Rate,Daily Rate,Hourly Rate,Per Minute Rate,Total Hours,Basic Pay,Total OT Hours,Total Overtime Pay,Adjustments/ Others,Total Earnings,Adjustment,Total Minutes,Total Late/ Undertime,Cash Advance/    Others,Total Deductions,Total Service Fee,Government Contributions,,,,Total Semi-monthly Contributions,Net Pay
SAMPLE LAST NAME 29,SAMPLE FIRST NAME 29,"₱19,500.00",₱812.50,₱101.56,1.69,,"₱4,875.00",1,₱101.56,,"₱4,976.56",,0,₱0.00,,₱0.00,"₱4,976.56",₱0.00,₱0.00,₱0.00,₱0.00,₱0.00,"4,976.56"
SAMPLE LAST NAME 30,SAMPLE FIRST NAME 30,"₱25,000.00","₱1,250.00",₱156.25,2.6,96,"₱15,000.00",,₱0.00,,"₱15,000.00",,0,₱0.00,,₱0.00,"₱15,000.00","₱1,000.00",₱500.00,₱400.00,₱0.00,₱950.00,"14,050.00"
SAMPLE LAST NAME 31,SAMPLE FIRST NAME 31,"₱30,000.00","₱1,379.31",₱172.41,2.87,,"₱15,000.00",,₱0.00,,"₱15,000.00",,0,₱0.00,,₱0.00,"₱15,000.00","₱1,500.00",₱750.00,₱600.00,₱687.45,"₱1,768.73","13,231.28"
SAMPLE LAST NAME 32,SAMPLE FIRST NAME 32,"₱21,000.00","₱1,050.00",₱131.25,2.19,84,"₱11,025.00",,₱0.00,,"₱11,025.00",,688,"₱1,506.72",,"₱1,506.72","₱9,518.28","₱1,000.00",₱500.00,₱400.00,₱0.00,₱950.00,"8,568.28"
SAMPLE LAST NAME 33,SAMPLE FIRST NAME 33,"₱21,000.00","₱1,050.00",₱131.25,2.19,102,"₱13,387.50",40,"₱5,250.00","₱1,073.88","₱19,711.38",,45,₱98.55,,₱98.55,"₱19,612.83","₱1,000.00",₱500.00,₱400.00,₱0.00,₱950.00,"18,662.83"
SAMPLE LAST NAME 34,SAMPLE FIRST NAME 34,"₱29,000.00","₱1,450.00",₱181.25,3.02,84,"₱15,225.00",,₱0.00,,"₱15,225.00",,0,₱0.00,,₱0.00,"₱15,225.00","₱1,000.00",₱500.00,₱400.00,₱0.00,₱950.00,"14,275.00"
SAMPLE LAST NAME 35,SAMPLE FIRST NAME 35,"₱19,500.00",₱896.55,₱112.07,1.87,,"₱7,956.90",5,₱560.34,,"₱8,517.24",,16,₱29.92,,₱29.92,"₱8,487.32",₱975.00,₱487.50,₱390.00,₱0.00,₱926.25,"7,561.07"
SAMPLE LAST NAME 36,SAMPLE FIRST NAME 36,"₱45,000.00","₱2,068.97",₱258.62,4.31,,"₱22,500.00",,₱0.00,,"₱25,439.55",,0,₱0.00,"₱10,764.25","₱10,764.25","₱14,675.30","₱1,750.00","₱1,125.00",₱900.00,"₱2,104.10","₱2,939.55","11,735.75"
SAMPLE LAST NAME 37,SAMPLE FIRST NAME 37,"₱50,000.00","₱2,298.85",₱287.36,4.79,,"₱25,000.00",,₱0.00,,"₱28,302.05",,0,₱0.00,,₱0.00,"₱28,302.05","₱1,750.00","₱1,250.00","₱1,000.00","₱2,604.10","₱3,302.05","25,000.00"
SAMPLE LAST NAME 38,SAMPLE FIRST NAME 38,"₱29,000.00","₱1,450.00",₱181.25,3.02,84,"₱15,225.00",18,"₱3,262.50",,"₱18,487.50",,0,₱0.00,"₱1,153.62","₱1,153.62","₱17,333.88","₱1,000.00",₱500.00,₱400.00,₱0.00,₱950.00,"16,383.88"
SAMPLE LAST NAME 39,SAMPLE FIRST NAME 39,"₱29,000.00","₱1,333.33",₱166.67,2.78,,"₱13,166.67",,₱0.00,,"₱13,166.67",,825,"₱2,293.50","₱4,000.00","₱6,293.50","₱6,873.17","₱1,000.00",₱500.00,₱400.00,₱0.00,₱950.00,"5,923.17"
SAMPLE LAST NAME 40,SAMPLE FIRST NAME 40,"₱25,000.00","₱1,149.43",₱143.68,2.39,,"₱12,500.00",3,₱431.03,,"₱12,931.03",,46,₱109.94,"₱1,250.00","₱1,359.94","₱11,571.09","₱1,000.00",₱500.00,₱400.00,₱0.00,₱950.00,"10,621.09"
SAMPLE LAST NAME 41,SAMPLE FIRST NAME 41,"₱25,000.00","₱1,149.43",₱143.68,2.39,,"₱11,350.57",,₱0.00,,"₱11,350.57",,270,₱645.30,,₱645.30,"₱10,705.27","₱1,000.00",₱500.00,₱400.00,₱0.00,₱950.00,
SAMPLE LAST NAME 42,SAMPLE FIRST NAME 42,"₱10,000.00",₱459.77,₱57.47,0.96,,"₱5,000.00",,₱0.00,,"₱5,475.00",,0,₱0.00,"₱5,000.00","₱5,000.00",₱475.00,₱500.00,₱250.00,₱200.00,₱0.00,₱475.00,0
SAMPLE LAST NAME 43,SAMPLE FIRST NAME 43,"₱36,000.00","₱1,800.00",₱225.00,3.75,84,"₱18,900.00",,₱0.00,,"₱18,900.00",,5,₱18.75,,₱18.75,"₱18,881.25","₱1,750.00",₱900.00,₱720.00,"₱1,204.10","₱2,287.05","16,594.20"
SAMPLE LAST NAME 44,SAMPLE FIRST NAME 44,"₱22,000.00","₱1,011.49",₱126.44,2.11,,"₱11,000.00",,₱0.00,,"₱11,000.00",,0,₱0.00,,₱0.00,"₱11,000.00","₱1,000.00",₱500.00,₱400.00,₱0.00,₱950.00,"10,050.00"
SAMPLE LAST NAME 45,SAMPLE FIRST NAME 45,"₱22,000.00","₱1,011.49",₱126.44,2.11,,"₱11,000.00",5,₱632.18,91.96,"₱11,724.14",,87,₱183.57,,₱183.57,"₱11,540.57","₱1,000.00",₱500.00,₱400.00,₱0.00,₱950.00,"10,590.57"
SAMPLE LAST NAME 46,SAMPLE FIRST NAME 46,"₱55,000.00","₱2,528.74",₱316.09,5.27,,"₱27,500.00",16,"₱5,057.47",,"₱32,557.47",,0,₱0.00,,₱0.00,"₱32,557.47","₱1,750.00","₱1,375.00","₱1,100.00","₱3,104.10","₱3,664.55","28,892.92"
SAMPLE LAST NAME 47,SAMPLE FIRST NAME 47,"₱25,000.00","₱1,250.00",₱156.25,2.6,108,"₱16,875.00",6,₱937.50,862.08,"₱18,674.58",,0,₱0.00,,₱0.00,"₱18,674.58","₱1,000.00",₱500.00,₱400.00,₱0.00,₱950.00,"17,724.58"
SAMPLE LAST NAME 48,SAMPLE FIRST NAME 48,"₱29,000.00","₱1,450.00",₱181.25,3.02,84,"₱15,225.00",,₱0.00,,"₱15,225.00",,46,₱138.92,,₱138.92,"₱15,086.08","₱1,000.00",₱500.00,₱400.00,₱0.00,₱950.00,"14,136.08"
RAVALO,RIO,"₱19,500.00",₱896.55,₱112.07,1.87,24,"₱2,689.66",,,,"₱2,689.66",,0,₱0.00,,₱0.00,"₱2,689.66",₱0.00,₱0.00,₱0.00,₱0.00,₱0.00,"2,689.66"
SAMPLE LAST NAME 49,SAMPLE FIRST NAME 49,"₱50,000.00",,,,,,,,,"₱25,000.00",,0,₱0.00,,₱0.00,"₱25,000.00",₱0.00,₱0.00,₱0.00,"₱2,500.00","₱1,250.00","23,750.00"
#REF!,#REF!,#REF!,,,,,,,,,#REF!,,0,₱0.00,,₱0.00,#REF!,₱0.00,₱0.00,₱0.00,₱0.00,₱0.00,#REF!
,,,,,,,,,,,,,,,,,,,,,,,#REF!
